generator_name,feature_set_name,feature_columns,num_features,hidden_layers,num_hidden_layers,total_hidden_neurons,fold_validation_losses,mean_validation_loss,std_validation_loss,mean_best_epoch,k_folds,status,warning
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[8, 4]",2,12,"[0.0003702990343054388, 0.00010806515425127748, 8.861573087666425e-05]",0.00018899330647779349,0.0001284481613329813,120.33333333333333,3,valid,
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 8]",2,12,"[0.00015022412553063365, 0.00010075315543883313, 8.575529687280562e-05]",0.00011224419261409079,2.7544998561753005e-05,237.33333333333334,3,valid,
W2,temporal_system_state,"[""demand"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand""]",6,"[4, 4, 4]",3,12,"[0.0001319281142647657, 0.0002631547129807107, 7.278227378838458e-05]",0.00015595503367795365,7.955453493620943e-05,111.33333333333333,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4]",2,8,"[0.00037212416582987066, 0.0002640086382605645, 7.209883488574078e-05]",0.00023607721299205865,0.0001240669797332104,132.33333333333334,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 8]",2,16,"[0.0001375302320810191, 9.97773490934979e-05, 7.406357082882881e-05]",0.00010379038400111528,2.6065080209639168e-05,119.33333333333333,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[11, 11]",2,22,"[0.00014805409416667118, 9.528671546513306e-05, 0.00015948505589645596]",0.00013427528850942005,2.7961262996500817e-05,90.0,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[8, 4]",2,12,"[0.00014297887609624165, 0.0002634887460225583, 7.334713186688226e-05]",0.00015993825132856073,7.854584081767982e-05,116.66666666666667,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 8]",2,12,"[0.00014560342021478371, 0.00026349360466306886, 7.271157502975849e-05]",0.00016060286663587036,7.86052723102618e-05,136.0,3,valid,
W2,compact,"[""demand"", ""total_wind_generation_capacity"", ""residual_demand"", ""next_generation_capacity"", ""next_demand""]",5,"[4, 4, 4]",3,12,"[0.0003800372701325632, 0.0002725581230206335, 7.213612779747494e-05]",0.00024157717365022387,0.00012759478249712246,59.666666666666664,3,valid,
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[4, 4]",2,8,"[0.00010336357872843878, 0.00026285701840210885, 0.00015840974259183978]",0.0001748767799074625,6.614585808751364e-05,135.33333333333334,3,valid,
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 8]",2,16,"[0.00036798112075290217, 7.144426969849255e-05, 7.200450400055471e-05]",0.00017047663148398316,0.00013965695095877068,169.66666666666666,3,valid,
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[11, 11]",2,22,"[0.00011432680121006905, 6.531951127514246e-05, 6.77068324739274e-05]",8.245104831971298e-05,2.256062266238567e-05,220.33333333333334,3,valid,
W2,full_supported,"[""demand"", ""total_wind_generation_capacity"", ""total_generation_capacity"", ""residual_demand"", ""previous_generation_capacity"", ""previous_demand"", ""next_generation_capacity"", ""next_demand"", ""own_generation_capacity"", ""previous_own_generation_capacity"", ""next_own_generation_capacity""]",11,"[8, 4]",2,12,"[0.00012213039943996743, 6.333486029281309e-05, 6.719810075681957e-05]",8.422112016320003e-05,2.685226555536353e-05,221.66666666666666,3,valid,
